studentId,term,amount,discountAmount,fineAmount,receiptDate,remarks
9ad0037e-e54c-4215-b21e-25bc6bda7166,TERM_1,0,0,0,31-12-2024,Fees Collected for TERM_1 ON 31-12-2024
9ad0037e-e54c-4215-b21e-25bc6bda7166,TERM_2,0,0,0,30-11-2025,Fees Collected for TERM_2 ON 30-11-2025
9ad0037e-e54c-4215-b21e-25bc6bda7166,TERM_3,5250,0,0,25-07-2024,Fees Collected for TERM_3 ON 25-07-2024
9ad0037e-e54c-4215-b21e-25bc6bda7166,TERM_4,5250,0,0,28-07-2025,Fees Collected for TERM_4 ON 28-07-2025
a6b7ce3c-766e-4186-bdef-8f4f3e9316c3,TERM_1,0,0,0,13-02-2025,Fees Collected for TERM_1 ON 13-02-2025
a6b7ce3c-766e-4186-bdef-8f4f3e9316c3,TERM_2,0,0,0,09-08-2025,Fees Collected for TERM_2 ON 09-08-2025
a6b7ce3c-766e-4186-bdef-8f4f3e9316c3,TERM_3,5250,0,0,19-10-2025,Fees Collected for TERM_3 ON 19-10-2025
a6b7ce3c-766e-4186-bdef-8f4f3e9316c3,TERM_4,5250,0,0,14-08-2024,Fees Collected for TERM_4 ON 14-08-2024
4332af11-1d14-4186-8aa8-dfa92efdcf6a,TERM_1,0,0,0,25-10-2025,Fees Collected for TERM_1 ON 25-10-2025
4332af11-1d14-4186-8aa8-dfa92efdcf6a,TERM_2,0,0,0,12-07-2024,Fees Collected for TERM_2 ON 12-07-2024
4332af11-1d14-4186-8aa8-dfa92efdcf6a,TERM_3,5250,0,0,28-03-2025,Fees Collected for TERM_3 ON 28-03-2025
4332af11-1d14-4186-8aa8-dfa92efdcf6a,TERM_4,0,0,0,17-04-2025,Fees Collected for TERM_4 ON 17-04-2025
9182cfd0-c865-43c2-a7e2-aa169d937026,TERM_1,0,0,0,05-06-2025,Fees Collected for TERM_1 ON 05-06-2025
9182cfd0-c865-43c2-a7e2-aa169d937026,TERM_2,0,0,0,14-03-2025,Fees Collected for TERM_2 ON 14-03-2025
9182cfd0-c865-43c2-a7e2-aa169d937026,TERM_3,5250,0,0,22-01-2025,Fees Collected for TERM_3 ON 22-01-2025
9182cfd0-c865-43c2-a7e2-aa169d937026,TERM_4,5250,0,0,20-06-2024,Fees Collected for TERM_4 ON 20-06-2024
0ba613cd-bf60-4fe5-beeb-77428355bd88,TERM_1,0,0,0,06-12-2024,Fees Collected for TERM_1 ON 06-12-2024
0ba613cd-bf60-4fe5-beeb-77428355bd88,TERM_2,0,0,0,15-08-2024,Fees Collected for TERM_2 ON 15-08-2024
0ba613cd-bf60-4fe5-beeb-77428355bd88,TERM_3,5250,0,0,30-12-2024,Fees Collected for TERM_3 ON 30-12-2024
0ba613cd-bf60-4fe5-beeb-77428355bd88,TERM_4,5250,0,0,26-09-2024,Fees Collected for TERM_4 ON 26-09-2024
9bea29ec-f924-4527-9075-f693fc5ff7bb,TERM_1,0,0,0,29-06-2024,Fees Collected for TERM_1 ON 29-06-2024
9bea29ec-f924-4527-9075-f693fc5ff7bb,TERM_2,0,0,0,14-10-2024,Fees Collected for TERM_2 ON 14-10-2024
9bea29ec-f924-4527-9075-f693fc5ff7bb,TERM_3,5250,0,0,13-07-2024,Fees Collected for TERM_3 ON 13-07-2024
9bea29ec-f924-4527-9075-f693fc5ff7bb,TERM_4,0,0,0,15-06-2025,Fees Collected for TERM_4 ON 15-06-2025
9298baae-e8d4-49ea-b0c0-864fd04c5819,TERM_1,0,0,0,17-05-2025,Fees Collected for TERM_1 ON 17-05-2025
9298baae-e8d4-49ea-b0c0-864fd04c5819,TERM_2,0,0,0,01-11-2025,Fees Collected for TERM_2 ON 01-11-2025
9298baae-e8d4-49ea-b0c0-864fd04c5819,TERM_3,5250,0,0,25-08-2025,Fees Collected for TERM_3 ON 25-08-2025
9298baae-e8d4-49ea-b0c0-864fd04c5819,TERM_4,5250,0,0,03-11-2025,Fees Collected for TERM_4 ON 03-11-2025
141d00d6-bd83-4625-b92d-53ba61e9ee45,TERM_1,0,0,0,17-10-2024,Fees Collected for TERM_1 ON 17-10-2024
141d00d6-bd83-4625-b92d-53ba61e9ee45,TERM_2,0,0,0,02-04-2025,Fees Collected for TERM_2 ON 02-04-2025
141d00d6-bd83-4625-b92d-53ba61e9ee45,TERM_3,5250,0,0,10-09-2025,Fees Collected for TERM_3 ON 10-09-2025
141d00d6-bd83-4625-b92d-53ba61e9ee45,TERM_4,5250,0,0,01-10-2024,Fees Collected for TERM_4 ON 01-10-2024
cadf3e3f-749b-49cc-8fa5-d61299cd79f7,TERM_1,0,0,0,16-10-2025,Fees Collected for TERM_1 ON 16-10-2025
cadf3e3f-749b-49cc-8fa5-d61299cd79f7,TERM_2,0,0,0,07-08-2024,Fees Collected for TERM_2 ON 07-08-2024
cadf3e3f-749b-49cc-8fa5-d61299cd79f7,TERM_4,0,0,0,07-03-2025,Fees Collected for TERM_4 ON 07-03-2025
a3b3d073-6109-4d0d-acc2-2ab981c0e651,TERM_1,0,0,0,06-10-2024,Fees Collected for TERM_1 ON 06-10-2024
a3b3d073-6109-4d0d-acc2-2ab981c0e651,TERM_2,0,0,0,05-10-2024,Fees Collected for TERM_2 ON 05-10-2024
a3b3d073-6109-4d0d-acc2-2ab981c0e651,TERM_3,5250,0,0,06-07-2025,Fees Collected for TERM_3 ON 06-07-2025
a3b3d073-6109-4d0d-acc2-2ab981c0e651,TERM_4,5250,0,0,17-05-2025,Fees Collected for TERM_4 ON 17-05-2025
8bce923a-7869-4f0f-a925-eea73c3ecc20,TERM_1,0,0,0,22-12-2024,Fees Collected for TERM_1 ON 22-12-2024
8bce923a-7869-4f0f-a925-eea73c3ecc20,TERM_2,0,0,0,25-08-2025,Fees Collected for TERM_2 ON 25-08-2025
8bce923a-7869-4f0f-a925-eea73c3ecc20,TERM_3,5250,0,0,10-12-2025,Fees Collected for TERM_3 ON 10-12-2025
8bce923a-7869-4f0f-a925-eea73c3ecc20,TERM_4,5250,0,0,16-12-2024,Fees Collected for TERM_4 ON 16-12-2024
f04719ad-f76c-4551-aa9e-79361fef4586,TERM_1,0,0,0,08-06-2025,Fees Collected for TERM_1 ON 08-06-2025
f04719ad-f76c-4551-aa9e-79361fef4586,TERM_2,0,0,0,12-12-2024,Fees Collected for TERM_2 ON 12-12-2024
f04719ad-f76c-4551-aa9e-79361fef4586,TERM_3,5250,0,0,09-01-2025,Fees Collected for TERM_3 ON 09-01-2025
f04719ad-f76c-4551-aa9e-79361fef4586,TERM_4,5250,0,0,24-05-2025,Fees Collected for TERM_4 ON 24-05-2025
1b171f8c-8d1d-449f-85dc-cc16dc140f38,TERM_1,0,0,0,02-08-2024,Fees Collected for TERM_1 ON 02-08-2024
1b171f8c-8d1d-449f-85dc-cc16dc140f38,TERM_2,0,0,0,05-02-2025,Fees Collected for TERM_2 ON 05-02-2025
1b171f8c-8d1d-449f-85dc-cc16dc140f38,TERM_3,5250,0,0,12-09-2024,Fees Collected for TERM_3 ON 12-09-2024
1b171f8c-8d1d-449f-85dc-cc16dc140f38,TERM_4,5250,0,0,25-02-2025,Fees Collected for TERM_4 ON 25-02-2025
495e7d57-7463-4738-94a2-dbdbc35f43b1,TERM_1,0,0,0,01-12-2024,Fees Collected for TERM_1 ON 01-12-2024
495e7d57-7463-4738-94a2-dbdbc35f43b1,TERM_2,0,0,0,30-03-2025,Fees Collected for TERM_2 ON 30-03-2025
495e7d57-7463-4738-94a2-dbdbc35f43b1,TERM_3,5250,0,0,07-09-2024,Fees Collected for TERM_3 ON 07-09-2024
495e7d57-7463-4738-94a2-dbdbc35f43b1,TERM_4,5250,0,0,24-09-2025,Fees Collected for TERM_4 ON 24-09-2025
12215615-1f51-4ed4-96d5-7f3b72b2c264,TERM_1,0,0,0,24-04-2025,Fees Collected for TERM_1 ON 24-04-2025
12215615-1f51-4ed4-96d5-7f3b72b2c264,TERM_2,0,0,0,23-10-2024,Fees Collected for TERM_2 ON 23-10-2024
12215615-1f51-4ed4-96d5-7f3b72b2c264,TERM_3,5250,0,0,08-10-2025,Fees Collected for TERM_3 ON 08-10-2025
12215615-1f51-4ed4-96d5-7f3b72b2c264,TERM_4,5250,0,0,13-05-2025,Fees Collected for TERM_4 ON 13-05-2025
59b60b95-1a8a-48a8-ba4d-3967da6703cb,TERM_1,0,0,0,06-11-2024,Fees Collected for TERM_1 ON 06-11-2024
59b60b95-1a8a-48a8-ba4d-3967da6703cb,TERM_2,0,0,0,06-11-2024,Fees Collected for TERM_2 ON 06-11-2024
59b60b95-1a8a-48a8-ba4d-3967da6703cb,TERM_3,5250,0,0,02-11-2024,Fees Collected for TERM_3 ON 02-11-2024
59b60b95-1a8a-48a8-ba4d-3967da6703cb,TERM_4,5250,0,0,26-07-2024,Fees Collected for TERM_4 ON 26-07-2024
f9f1c465-b6b1-4ebd-8234-d285085cee36,TERM_1,6050,0,0,01-08-2024,Fees Collected for TERM_1 ON 01-08-2024
f9f1c465-b6b1-4ebd-8234-d285085cee36,TERM_2,6050,0,0,14-03-2025,Fees Collected for TERM_2 ON 14-03-2025
f9f1c465-b6b1-4ebd-8234-d285085cee36,TERM_3,6050,0,0,05-02-2025,Fees Collected for TERM_3 ON 05-02-2025
f9f1c465-b6b1-4ebd-8234-d285085cee36,TERM_4,6050,0,0,27-07-2024,Fees Collected for TERM_4 ON 27-07-2024
e3248954-ba6c-4a43-867a-8ff107279476,TERM_1,6050,0,0,07-10-2024,Fees Collected for TERM_1 ON 07-10-2024
e3248954-ba6c-4a43-867a-8ff107279476,TERM_2,6050,0,0,13-08-2024,Fees Collected for TERM_2 ON 13-08-2024
e3248954-ba6c-4a43-867a-8ff107279476,TERM_3,6050,0,0,04-10-2025,Fees Collected for TERM_3 ON 04-10-2025
e3248954-ba6c-4a43-867a-8ff107279476,TERM_4,6050,0,0,03-09-2025,Fees Collected for TERM_4 ON 03-09-2025
9fe9ffd9-d8ee-4a84-bb40-7fbab45c190e,TERM_1,6050,0,0,24-08-2024,Fees Collected for TERM_1 ON 24-08-2024
9fe9ffd9-d8ee-4a84-bb40-7fbab45c190e,TERM_2,6050,0,0,12-12-2024,Fees Collected for TERM_2 ON 12-12-2024
9fe9ffd9-d8ee-4a84-bb40-7fbab45c190e,TERM_3,6050,0,0,18-11-2024,Fees Collected for TERM_3 ON 18-11-2024
9fe9ffd9-d8ee-4a84-bb40-7fbab45c190e,TERM_4,6050,0,0,20-10-2025,Fees Collected for TERM_4 ON 20-10-2025
a41940f7-7579-449c-a944-fe9cabd0214c,TERM_1,6050,0,0,07-07-2024,Fees Collected for TERM_1 ON 07-07-2024
a41940f7-7579-449c-a944-fe9cabd0214c,TERM_2,6050,0,0,24-08-2025,Fees Collected for TERM_2 ON 24-08-2025
a41940f7-7579-449c-a944-fe9cabd0214c,TERM_3,6050,0,0,13-06-2025,Fees Collected for TERM_3 ON 13-06-2025
a41940f7-7579-449c-a944-fe9cabd0214c,TERM_4,6050,0,0,25-10-2024,Fees Collected for TERM_4 ON 25-10-2024
83b8e51e-b50c-40a8-896d-be3513a2e774,TERM_1,6050,0,0,15-07-2025,Fees Collected for TERM_1 ON 15-07-2025
83b8e51e-b50c-40a8-896d-be3513a2e774,TERM_2,6050,0,0,21-03-2025,Fees Collected for TERM_2 ON 21-03-2025
83b8e51e-b50c-40a8-896d-be3513a2e774,TERM_3,6050,0,0,12-07-2025,Fees Collected for TERM_3 ON 12-07-2025
