id,gradeId,classId,teacherId,day,period,subjectId
1,1,1,staff_ks_063,MONDAY,PERIOD1,3
2,1,1,staff_ks_063,MONDAY,PERIOD2,3
3,1,1,staff_ks_063,MONDAY,PERIOD3,3
4,1,1,staff_ks_063,MONDAY,PERIOD4,3
5,1,1,staff_ks_063,MONDAY,PERIOD5,3
6,1,1,staff_ks_063,MONDAY,PERIOD6,3
7,1,1,staff_ks_063,MONDAY,PERIOD8,3
8,1,1,staff_ks_063,TUESDAY,PERIOD1,3
9,1,1,staff_ks_063,TUESDAY,PERIOD2,3
10,1,1,staff_ks_063,TUESDAY,PERIOD4,3
11,1,1,staff_ks_063,TUESDAY,PERIOD5,3
12,1,1,staff_ks_063,TUESDAY,PERIOD6,3
13,1,1,staff_ks_063,TUESDAY,PERIOD7,3
14,1,1,staff_ks_063,TUESDAY,PERIOD8,3
15,1,1,staff_ks_063,WEDNESDAY,PERIOD2,3
16,1,1,staff_ks_063,WEDNESDAY,PERIOD3,3
17,1,1,staff_ks_063,WEDNESDAY,PERIOD4,3
18,1,1,staff_ks_063,WEDNESDAY,PERIOD5,3
19,1,1,staff_ks_063,WEDNESDAY,PERIOD6,3
20,1,1,staff_ks_063,WEDNESDAY,PERIOD7,3
21,1,1,staff_ks_063,WEDNESDAY,PERIOD8,3
22,1,1,staff_ks_063,THURSDAY,PERIOD1,3
23,1,1,staff_ks_063,THURSDAY,PERIOD2,3
24,1,1,staff_ks_063,THURSDAY,PERIOD3,3
25,1,1,staff_ks_063,THURSDAY,PERIOD5,3
26,1,1,staff_ks_063,THURSDAY,PERIOD6,3
27,1,1,staff_ks_063,THURSDAY,PERIOD7,3
28,1,1,staff_ks_063,THURSDAY,PERIOD8,3
29,1,1,staff_ks_063,FRIDAY,PERIOD1,3
30,1,1,staff_ks_063,FRIDAY,PERIOD2,3
31,1,1,staff_ks_063,FRIDAY,PERIOD3,3
32,1,1,staff_ks_063,FRIDAY,PERIOD4,3
33,1,1,staff_ks_063,FRIDAY,PERIOD5,3
34,1,1,staff_ks_063,FRIDAY,PERIOD6,3
35,1,1,staff_ks_063,FRIDAY,PERIOD7,3
36,1,1,staff_ks_063,SATURDAY,PERIOD2,3
37,1,1,staff_ks_063,SATURDAY,PERIOD3,3
38,1,1,staff_ks_063,SATURDAY,PERIOD4,3
39,2,2,staff_ks_001,MONDAY,PERIOD1,5
40,2,2,staff_ks_001,MONDAY,PERIOD2,8
41,2,2,staff_ks_001,MONDAY,PERIOD3,9
42,2,2,staff_ks_001,MONDAY,PERIOD4,10
43,2,2,staff_ks_001,MONDAY,PERIOD6,14
44,2,2,staff_ks_001,MONDAY,PERIOD7,20
45,2,2,staff_ks_001,MONDAY,PERIOD8,21
46,2,2,staff_ks_001,TUESDAY,PERIOD1,24
47,2,2,staff_ks_001,TUESDAY,PERIOD2,26
48,2,2,staff_ks_001,TUESDAY,PERIOD3,5
49,2,2,staff_ks_001,TUESDAY,PERIOD4,8
50,2,2,staff_ks_001,TUESDAY,PERIOD5,9
51,2,2,staff_ks_001,TUESDAY,PERIOD6,10
52,2,2,staff_ks_001,TUESDAY,PERIOD7,14
53,2,2,staff_ks_001,WEDNESDAY,PERIOD1,20
54,2,2,staff_ks_001,WEDNESDAY,PERIOD2,21
55,2,2,staff_ks_001,WEDNESDAY,PERIOD3,24
56,2,2,staff_ks_001,WEDNESDAY,PERIOD4,26
57,2,2,staff_ks_001,WEDNESDAY,PERIOD5,5
58,2,2,staff_ks_001,WEDNESDAY,PERIOD6,8
59,2,2,staff_ks_001,WEDNESDAY,PERIOD7,9
60,2,2,staff_ks_001,THURSDAY,PERIOD1,10
61,2,2,staff_ks_001,THURSDAY,PERIOD2,14
62,2,2,staff_ks_001,THURSDAY,PERIOD3,20
63,2,2,staff_ks_001,THURSDAY,PERIOD4,21
64,2,2,staff_ks_001,THURSDAY,PERIOD6,24
65,2,2,staff_ks_001,THURSDAY,PERIOD7,26
66,2,2,staff_ks_001,THURSDAY,PERIOD8,5
67,2,2,staff_ks_001,FRIDAY,PERIOD1,8
68,2,2,staff_ks_001,FRIDAY,PERIOD2,9
69,2,2,staff_ks_001,FRIDAY,PERIOD3,10
70,2,2,staff_ks_001,FRIDAY,PERIOD4,14
71,2,2,staff_ks_001,FRIDAY,PERIOD5,20
72,2,2,staff_ks_001,FRIDAY,PERIOD7,21
73,2,2,staff_ks_001,FRIDAY,PERIOD8,24
74,2,2,staff_ks_001,SATURDAY,PERIOD1,26
75,2,2,staff_ks_001,SATURDAY,PERIOD2,5
76,2,2,staff_ks_001,SATURDAY,PERIOD3,8
77,2,3,staff_ks_002,MONDAY,PERIOD2,5
78,2,3,staff_ks_002,MONDAY,PERIOD3,8
79,2,3,staff_ks_002,MONDAY,PERIOD4,9
80,2,3,staff_ks_002,MONDAY,PERIOD5,10
81,2,3,staff_ks_002,MONDAY,PERIOD6,14
82,2,3,staff_ks_002,MONDAY,PERIOD7,20
83,2,3,staff_ks_002,MONDAY,PERIOD8,21
84,2,3,staff_ks_002,TUESDAY,PERIOD1,24
85,2,3,staff_ks_002,TUESDAY,PERIOD2,26
86,2,3,staff_ks_002,TUESDAY,PERIOD3,5
87,2,3,staff_ks_002,TUESDAY,PERIOD4,8
88,2,3,staff_ks_002,TUESDAY,PERIOD5,9
89,2,3,staff_ks_002,TUESDAY,PERIOD6,10
90,2,3,staff_ks_002,TUESDAY,PERIOD8,14
91,2,3,staff_ks_002,WEDNESDAY,PERIOD1,20
92,2,3,staff_ks_002,WEDNESDAY,PERIOD2,21
93,2,3,staff_ks_002,WEDNESDAY,PERIOD3,24
94,2,3,staff_ks_002,WEDNESDAY,PERIOD5,26
95,2,3,staff_ks_002,WEDNESDAY,PERIOD6,5
96,2,3,staff_ks_002,WEDNESDAY,PERIOD7,8
97,2,3,staff_ks_002,WEDNESDAY,PERIOD8,9
98,2,3,staff_ks_002,THURSDAY,PERIOD1,10
99,2,3,staff_ks_002,THURSDAY,PERIOD2,14
100,2,3,staff_ks_002,THURSDAY,PERIOD3,20
101,2,3,staff_ks_002,THURSDAY,PERIOD4,21
102,2,3,staff_ks_002,THURSDAY,PERIOD5,24
103,2,3,staff_ks_002,THURSDAY,PERIOD6,26
104,2,3,staff_ks_002,THURSDAY,PERIOD7,5
105,2,3,staff_ks_002,FRIDAY,PERIOD1,8
106,2,3,staff_ks_002,FRIDAY,PERIOD2,9
107,2,3,staff_ks_002,FRIDAY,PERIOD3,10
108,2,3,staff_ks_002,FRIDAY,PERIOD4,14
109,2,3,staff_ks_002,FRIDAY,PERIOD5,20
110,2,3,staff_ks_002,FRIDAY,PERIOD7,21
111,2,3,staff_ks_002,FRIDAY,PERIOD8,24
112,2,3,staff_ks_002,SATURDAY,PERIOD2,26
113,2,3,staff_ks_002,SATURDAY,PERIOD3,5
114,2,3,staff_ks_002,SATURDAY,PERIOD4,8
115,3,4,staff_ks_003,MONDAY,PERIOD1,5
116,3,4,staff_ks_003,MONDAY,PERIOD3,8
117,3,4,staff_ks_003,MONDAY,PERIOD4,9
118,3,4,staff_ks_003,MONDAY,PERIOD5,10
119,3,4,staff_ks_003,MONDAY,PERIOD6,14
120,3,4,staff_ks_003,MONDAY,PERIOD7,16
121,3,4,staff_ks_003,MONDAY,PERIOD8,20
122,3,4,staff_ks_003,TUESDAY,PERIOD1,21
123,3,4,staff_ks_003,TUESDAY,PERIOD2,24
124,3,4,staff_ks_003,TUESDAY,PERIOD3,26
125,3,4,staff_ks_003,TUESDAY,PERIOD4,27
126,3,4,staff_ks_003,TUESDAY,PERIOD5,5
127,3,4,staff_ks_003,TUESDAY,PERIOD6,8
128,3,4,staff_ks_003,TUESDAY,PERIOD7,9
129,3,4,staff_ks_003,WEDNESDAY,PERIOD1,10
130,3,4,staff_ks_003,WEDNESDAY,PERIOD2,14
131,3,4,staff_ks_003,WEDNESDAY,PERIOD3,16
132,3,4,staff_ks_003,WEDNESDAY,PERIOD4,20
133,3,4,staff_ks_003,WEDNESDAY,PERIOD5,21
134,3,4,staff_ks_003,WEDNESDAY,PERIOD6,24
135,3,4,staff_ks_003,WEDNESDAY,PERIOD7,26
136,3,4,staff_ks_003,THURSDAY,PERIOD1,27
137,3,4,staff_ks_003,THURSDAY,PERIOD2,5
138,3,4,staff_ks_003,THURSDAY,PERIOD4,8
139,3,4,staff_ks_003,THURSDAY,PERIOD5,9
140,3,4,staff_ks_003,THURSDAY,PERIOD6,10
141,3,4,staff_ks_003,THURSDAY,PERIOD7,14
142,3,4,staff_ks_003,THURSDAY,PERIOD8,16
143,3,4,staff_ks_003,FRIDAY,PERIOD1,20
144,3,4,staff_ks_003,FRIDAY,PERIOD2,21
145,3,4,staff_ks_003,FRIDAY,PERIOD3,24
146,3,4,staff_ks_003,FRIDAY,PERIOD4,26
147,3,4,staff_ks_003,FRIDAY,PERIOD5,27
148,3,4,staff_ks_003,FRIDAY,PERIOD6,5
149,3,4,staff_ks_003,FRIDAY,PERIOD7,8
150,3,4,staff_ks_003,SATURDAY,PERIOD1,9
151,3,4,staff_ks_003,SATURDAY,PERIOD3,10
152,3,4,staff_ks_003,SATURDAY,PERIOD4,14
153,3,5,staff_ks_004,MONDAY,PERIOD1,5
154,3,5,staff_ks_004,MONDAY,PERIOD3,8
155,3,5,staff_ks_004,MONDAY,PERIOD4,9
156,3,5,staff_ks_004,MONDAY,PERIOD5,10
157,3,5,staff_ks_004,MONDAY,PERIOD6,14
158,3,5,staff_ks_004,MONDAY,PERIOD7,16
159,3,5,staff_ks_004,MONDAY,PERIOD8,20
160,3,5,staff_ks_004,TUESDAY,PERIOD1,21
161,3,5,staff_ks_004,TUESDAY,PERIOD2,24
162,3,5,staff_ks_004,TUESDAY,PERIOD3,26
163,3,5,staff_ks_004,TUESDAY,PERIOD4,27
164,3,5,staff_ks_004,TUESDAY,PERIOD5,5
165,3,5,staff_ks_004,TUESDAY,PERIOD6,8
166,3,5,staff_ks_004,TUESDAY,PERIOD7,9
167,3,5,staff_ks_004,WEDNESDAY,PERIOD1,10
168,3,5,staff_ks_004,WEDNESDAY,PERIOD2,14
169,3,5,staff_ks_004,WEDNESDAY,PERIOD3,16
170,3,5,staff_ks_004,WEDNESDAY,PERIOD4,20
171,3,5,staff_ks_004,WEDNESDAY,PERIOD5,21
172,3,5,staff_ks_004,WEDNESDAY,PERIOD6,24
173,3,5,staff_ks_004,WEDNESDAY,PERIOD8,26
174,3,5,staff_ks_004,THURSDAY,PERIOD1,27
